step,accuracy,loss
0,0.0166594,34424.2
1,0.0312907,31632.7
2,0.0667826,30980.8
3,0.103578,30705.1
4,0.115022,30596.7
5,0.115747,30515.8
6,0.131247,30352.1
7,0.149066,30165.0
8,0.162103,29937.3
9,0.167898,29716.6
10,0.181081,29435.0
11,0.190497,29275.1
12,0.202086,29060.3
13,0.211792,28744.4
14,0.221932,28450.8
15,0.228307,28172.8
16,0.233232,28004.7
17,0.238447,27640.1
18,0.241634,27415.6
19,0.250905,27165.9
20,0.253368,26813.2
21,0.258004,26584.7
22,0.263219,26449.2
23,0.26177,26215.5
24,0.267565,26076.2
25,0.266406,25853.6
26,0.273649,25499.4
27,0.273215,25353.5
28,0.282341,25033.8
29,0.286977,24722.1
30,0.282341,24669.6
31,0.289295,24412.1
32,0.292337,24255.1
33,0.292337,24156.0
34,0.303057,23882.9
35,0.304795,23696.0
36,0.313487,23389.6
37,0.311604,23387.6
38,0.317253,23139.0
39,0.31537,22992.1
40,0.321454,22975.0
41,0.322903,22741.0
42,0.32667,22560.1
43,0.332899,22380.7
44,0.333623,22175.1
45,0.327249,22357.7
46,0.340577,21906.4
47,0.339563,21775.5
48,0.344343,21528.1
49,0.346081,21406.2
50,0.34811,21179.8
51,0.351152,21084.9
52,0.3526,21004.2
53,0.355932,20889.5
54,0.354628,20821.6
55,0.359119,20672.1
56,0.353614,20739.0
57,0.362451,20427.2
58,0.371288,20266.3
59,0.371578,20174.3
60,0.367377,20126.2
61,0.374185,19856.7
62,0.371143,19987.3
63,0.375344,19845.8
64,0.377517,19684.8
65,0.380559,19572.9
66,0.378821,19479.2
67,0.384471,19235.4
68,0.387947,19154.8
69,0.391134,18931.7
70,0.390555,18966.7
71,0.394321,18889.4
72,0.398522,18724.2
73,0.398088,18678.7
74,0.397219,18641.7
75,0.401854,18503.5
76,0.400261,18503.9
77,0.408373,18292.7
78,0.404462,18210.1
79,0.409242,18192.9
80,0.40649,18180.4
81,0.41185,17985.3
82,0.415037,17865.5
83,0.4175,17813.7
84,0.414602,17890.1
85,0.416196,17842.2
86,0.420832,17636.5
87,0.424019,17442.3
88,0.423439,17491.9
89,0.425757,17446.5
90,0.428509,17268.9
91,0.425467,17439.9
92,0.429234,17305.2
93,0.431986,17211.7
94,0.434304,17049.8
95,0.436622,17070.2
96,0.439809,16929.9
97,0.439084,16972.1
98,0.438795,17041.5
99,0.445459,16714.0
100,0.446328,16730.0
101,0.445459,16701.0
102,0.447197,16656.9
103,0.450384,16550.7
104,0.445893,16797.5
105,0.449225,16580.0
106,0.450963,16516.0
107,0.458062,16468.4
108,0.461104,16298.0
109,0.452557,16655.9
110,0.462408,16317.6
111,0.455889,16535.9
112,0.458931,16498.7
113,0.459221,16407.7
114,0.463132,16363.9
115,0.461828,16297.6
116,0.467043,16270.7
117,0.472838,16037.4
118,0.467333,16407.7
119,0.467623,16355.4
120,0.473128,16136.8
121,0.47646,16087.7
122,0.474431,16278.3
123,0.472403,16303.9
124,0.47559,16267.1
125,0.477329,16133.4
126,0.479647,16072.7
127,0.473417,16426.4
128,0.479357,16207.1
129,0.478488,16347.7
130,0.482109,16330.5
131,0.482544,16344.5
132,0.483413,16291.7
133,0.479502,16542.3
134,0.486165,16335.7
135,0.482978,16445.9
136,0.480081,16756.5
137,0.485151,16539.8
138,0.485731,16524.3
139,0.479502,16810.5
140,0.492105,16245.5
141,0.489352,16430.7
142,0.487759,16358.5
143,0.49703,16295.5
144,0.497175,16217.4
145,0.493119,16445.6
146,0.485731,16796.6
147,0.492829,16438.1
148,0.489063,16649.6
149,0.493409,16614.6
150,0.496451,16357.1
151,0.495582,16446.8
152,0.497755,16332.0
153,0.503549,16125.1
154,0.500507,16222.0
155,0.503984,15978.6
156,0.501956,16248.6
157,0.500362,16332.1
158,0.500362,16246.1
159,0.505432,16030.2
160,0.510937,15700.9
161,0.510937,15794.9
162,0.516008,15625.6
163,0.50804,16021.9
164,0.511227,15833.6
165,0.51818,15746.1
166,0.519774,15612.8
167,0.512965,15786.3
168,0.512241,15979.4
169,0.519629,15520.7
170,0.523251,15146.2
171,0.518615,15427.9
172,0.524844,15231.1
173,0.52412,15165.6
174,0.523685,15293.8
175,0.52383,15212.1
176,0.52977,15070.0
177,0.530349,14828.6
178,0.518615,15675.5
179,0.525424,15174.2
180,0.528901,15039.4
181,0.53426,14786.3
182,0.528466,15303.5
183,0.526003,15299.6
184,0.528176,15184.1
185,0.535275,14844.6
186,0.532232,14996.0
187,0.533681,14955.2
188,0.53455,14940.1
189,0.530349,15284.7
190,0.52919,15322.7
191,0.524555,15708.9
192,0.533536,15091.0
193,0.532957,15433.4
194,0.538896,14993.5
195,0.528901,15657.3
196,0.537303,15092.0
197,0.537592,15245.9
198,0.541504,14877.7
199,0.543387,14990.1
